Subject,Genotype,Group,Response_au,Marker_ng_ml
1,WT,Baseline,51.669313918943494,23.850200770622966
1,WT,Treated,92.3765249599523,24.229558344982006
2,WT,Baseline,47.714195822636455,20.808581320120965
2,WT,Treated,88.92836115784627,18.556198717110348
3,WT,Baseline,45.16128455473618,20.953753365310504
3,WT,Treated,79.32443655318026,21.248979535913737
4,WT,Baseline,58.03339810240887,21.52812823204841
4,WT,Treated,106.86544707174549,17.509447506536887
5,WT,Baseline,57.03529773566388,18.01190139227953
5,WT,Treated,101.19062535544863,18.577286391770365
6,WT,Baseline,46.89761446425923,17.584779746863386
6,WT,Treated,85.56246961954602,19.187243302740466
7,WT,Baseline,49.546885460326656,17.45902331976524
7,WT,Treated,89.81385530346616,24.077699883768577
8,WT,Baseline,42.80834532235265,20.94049528478534
8,WT,Treated,75.88775198994192,21.69106945570607
9,WT,Baseline,50.23228633800075,13.96299597287815
9,WT,Treated,88.94813843488767,13.957231361041243
10,WT,Baseline,51.670456268760816,21.443620476493933
10,WT,Treated,91.31037480559706,22.73862606250308
11,KO,Baseline,45.01613284255268,16.888083585119492
11,KO,Treated,48.877476478935336,20.12225923044006
12,KO,Baseline,50.249658062771644,15.41348176118401
12,KO,Treated,52.79484225099798,21.534199895493533
13,KO,Baseline,58.16600735471458,21.678997447840093
13,KO,Treated,60.05141728899318,26.877412077814434
14,KO,Baseline,48.41056821117909,20.245990369210883
14,KO,Treated,54.87602844303047,13.852439369527172
15,KO,Baseline,59.182565270690674,22.735346323223464
15,KO,Treated,63.48012256133922,14.941261631067508
16,KO,Baseline,49.5699618357338,23.834486180682113
16,KO,Treated,51.34974857897457,21.600990275638694
17,KO,Baseline,43.865448485199586,20.49733465910876
17,KO,Treated,47.130041996045016,18.804862264577096
18,KO,Baseline,49.10085905608349,22.943513744700983
18,KO,Treated,49.772129848361836,20.12296015708423
19,KO,Baseline,56.83872171688608,21.397942532241366
19,KO,Treated,59.54611657939656,18.9034612134854
20,KO,Baseline,45.31893347068178,22.524694303830508
20,KO,Treated,49.08075801560839,24.2289535868428
