Genotype,Subject,Group,Response_au,Marker_ng_ml
WT,1,Treated,178.7841137292213,101.5905844064269
WT,2,Treated,186.3771559483291,89.17570319494745
WT,3,Treated,175.6469890864991,101.4089417082287
WT,4,Treated,184.1447348700225,81.33288374077497
WT,5,Treated,177.41754557752515,103.13895233588819
WT,6,Treated,182.4452492882199,109.1127871883804
WT,7,Treated,181.2704360103163,137.90977560875572
WT,8,Treated,177.2732662720244,103.58431909423878
WT,9,Treated,177.073641116746,99.95871507914129
WT,10,Treated,176.7167960171506,106.03911819568299
KO,11,Treated,108.5776884697937,119.1506373652146
KO,12,Treated,105.06507762708932,99.98017456881026
KO,13,Treated,103.24142917835289,123.97903612693246
KO,14,Treated,113.35547272167395,68.42065572940945
KO,15,Treated,107.26152587504829,65.71820555821252
KO,16,Treated,103.59045413256251,90.62914179012733
KO,17,Treated,107.44228914460301,91.74296354780182
KO,18,Treated,101.36712637046048,87.70653170651254
KO,19,Treated,104.76329301703164,88.34242444105358
KO,20,Treated,108.30077907142332,107.56618163169685
