Subject,Genotype,Group,Response_au,Marker_ng_ml,Response_au_outlier,Marker_ng_ml_outlier
1,WT,Baseline,51.669313918943494,23.85020077062297,False,False
1,WT,Treated,92.3765249599523,24.229558344982006,False,False
2,WT,Baseline,47.714195822636455,20.808581320120965,False,False
2,WT,Treated,88.92836115784627,18.556198717110348,False,False
3,WT,Baseline,45.16128455473618,20.953753365310504,False,False
3,WT,Treated,79.32443655318026,21.248979535913737,False,False
4,WT,Baseline,58.03339810240887,21.52812823204841,False,False
4,WT,Treated,106.86544707174548,17.509447506536887,True,False
5,WT,Baseline,57.03529773566388,18.01190139227953,False,False
5,WT,Treated,101.19062535544865,18.577286391770365,True,False
6,WT,Baseline,46.89761446425923,17.584779746863386,False,False
6,WT,Treated,85.56246961954602,19.187243302740463,False,False
7,WT,Baseline,49.546885460326656,17.45902331976524,False,False
7,WT,Treated,89.81385530346616,24.077699883768577,False,False
8,WT,Baseline,42.80834532235265,20.94049528478534,False,False
8,WT,Treated,75.88775198994192,21.69106945570607,True,False
9,WT,Baseline,50.23228633800075,13.96299597287815,False,False
9,WT,Treated,88.94813843488767,13.957231361041243,False,False
10,WT,Baseline,51.670456268760816,21.443620476493933,False,False
10,WT,Treated,91.31037480559706,22.73862606250308,False,False
