Subject,Group,Marker_pct,Weight_g
1,Control,41.82955708439312,26.08892390521286
2,Control,38.93701063245456,28.189824543132193
3,Control,49.12613945703842,29.130172264665287
4,Control,43.968996679864006,24.725192590041544
5,Control,40.67718902446306,24.64283932103074
6,Control,43.55957908913601,23.582485539738123
7,Control,36.247970395514145,21.82784466312612
8,Control,37.914084609950045,25.253161365559215
9,Control,33.50053405556517,21.605304001911655
10,Control,39.37620829397428,23.480527105584066
11,Control,36.54347990342865,26.029116191734953
12,Control,43.317684634416956,22.431250385519252
13,TreatmentA,53.876775114160786,24.79986716726487
14,TreatmentA,56.222768648592805,26.930175241613032
15,TreatmentA,54.99309529388762,24.818368691186702
16,TreatmentA,51.175594829853765,23.535342142764403
17,TreatmentA,58.66708921061413,23.334852053975933
18,TreatmentA,43.565142842998796,24.57496058383814
19,TreatmentA,48.75023243163547,28.824770054410955
20,TreatmentA,55.915198843728916,26.40410211166018
21,TreatmentA,47.25289672506969,25.9909940140517
22,TreatmentA,49.33195416342457,24.604170450541165
23,TreatmentA,47.197958775385814,22.721094755756777
24,TreatmentA,43.70167504228891,22.63300023404493
25,TreatmentB,37.776379993625596,25.57301891120668
26,TreatmentB,31.678386188517912,23.766354132078142
27,TreatmentB,38.68646091678561,24.829668876676926
28,TreatmentB,40.401676667594494,22.8256275972276
29,TreatmentB,48.388400816934734,26.0517103994852
30,TreatmentB,35.566831502571645,23.86533182777938
31,TreatmentB,42.315584647144895,25.63829876290891
32,TreatmentB,29.66211608844214,24.73572900915413
33,TreatmentB,39.87019004008904,27.83007376293289
34,TreatmentB,46.21475209478808,25.630640732937643
35,TreatmentB,42.42250828673562,22.852083193168546
36,TreatmentB,35.53838982401921,23.95414376772692
