Subject,Trial,Condition,Score,Reaction_ms
1,1,Baseline,94.23611443269215,355.2463195415167
1,1,Follow-up,57.96501905193667,358.0351084637582
1,2,Baseline,52.20836813235747,
1,2,Follow-up,57.11404862930324,295.4265544331893
2,1,Baseline,54.58530609809063,350.0666310926191
2,1,Follow-up,62.17523842123368,299.2453958878074
2,2,Baseline,54.2526059758423,301.58861789067055
2,2,Follow-up,59.83108719472109,308.14405326475304
3,1,Baseline,45.28746762883482,313.2270275228372
3,1,Follow-up,56.46672166018722,327.8682684359772
3,2,Baseline,45.20363001076939,353.98083236473815
3,2,Follow-up,54.22054161419589,305.40913012133933
4,1,Baseline,51.95841934890426,301.62528783107894
4,1,Follow-up,57.54739067386218,269.6435946753437
4,2,Baseline,52.43780932582428,298.794419022845
4,2,Follow-up,62.534473676272704,342.8218838541923
5,1,Baseline,42.941521899299005,321.0188269203339
5,1,Follow-up,55.515157688192424,320.4087660635969
5,2,Baseline,41.958454016675354,332.78499912911275
5,2,Follow-up,58.153940785506734,307.2138695817858
6,1,Baseline,52.82818429940655,370.56164776615526
6,1,Follow-up,68.39940055296854,268.7703280793931
6,2,Baseline,56.41884998591041,336.7303628389251
6,2,Follow-up,70.05897118897693,277.84384692556256
7,1,Baseline,52.12628595618854,333.34158563032247
7,1,Follow-up,54.47704430798145,333.39151358231805
7,2,Baseline,49.90151827513964,310.0405188714758
7,2,Follow-up,56.222181164942754,297.7028479934271
8,1,Baseline,58.16660139503066,318.31823470832717
8,1,Follow-up,64.9419493346471,310.862176779045
8,2,Baseline,54.326671979629225,338.6984733924065
8,2,Follow-up,65.6931171823732,355.2412798903567
9,1,Baseline,42.03768795124292,335.9434435868224
9,1,Follow-up,48.715980611649485,336.7084682088426
9,2,Baseline,42.5517606563843,343.75091388134786
9,2,Follow-up,51.863980580816474,320.0773270198342
10,1,Baseline,46.1117107952147,335.53665516111596
10,1,Follow-up,61.54243104781476,330.5750745462948
10,2,Baseline,44.59901997586809,300.33223503548646
10,2,Follow-up,57.67946962317665,291.6204903521013
11,1,Baseline,53.453553531694624,299.25750736319617
11,1,Follow-up,67.82339452478472,338.19845509719147
11,2,Baseline,60.03162874012579,343.38431927557167
11,2,Follow-up,68.76922626247465,308.3674912128547
12,1,Baseline,50.812582941527666,
12,1,Follow-up,51.84848922704497,306.99763539505176
12,2,Baseline,48.70048121621565,272.22527644091406
12,2,Follow-up,54.79265522265398,340.55553095089994
13,1,Baseline,44.3154579961333,290.1225006614702
13,1,Follow-up,53.745502608530394,325.25296157485695
13,2,Baseline,46.320346356892294,290.5985848234588
13,2,Follow-up,54.5513128158596,340.77323258893006
14,1,Baseline,49.75609502950249,335.5227828423884
14,1,Follow-up,60.44561777208512,306.96773927137514
14,2,Baseline,49.15351453829058,332.8631839878796
14,2,Follow-up,60.43359075563815,355.9889377822794
