Subject,Genotype,Group,Response_au,Marker_ng_ml,Response_au_outlier,Marker_ng_ml_outlier
1,WT,Baseline,51.669313918943494,23.85020077062297,False,False
1,WT,Treated,92.3765249599523,24.229558344982006,False,False
2,WT,Baseline,47.714195822636455,20.808581320120965,False,False
2,WT,Treated,88.92836115784627,18.556198717110348,False,False
3,WT,Baseline,45.16128455473618,20.953753365310504,False,False
3,WT,Treated,79.32443655318026,21.248979535913737,False,False
4,WT,Baseline,58.03339810240887,21.52812823204841,False,False
4,WT,Treated,106.86544707174548,17.509447506536887,True,False
5,WT,Baseline,57.03529773566388,18.01190139227953,False,False
5,WT,Treated,101.19062535544865,18.577286391770365,True,False
6,WT,Baseline,46.89761446425923,17.584779746863386,False,False
6,WT,Treated,85.56246961954602,19.187243302740463,False,False
7,WT,Baseline,49.546885460326656,17.45902331976524,False,False
7,WT,Treated,89.81385530346616,24.077699883768577,False,False
8,WT,Baseline,42.80834532235265,20.94049528478534,False,False
8,WT,Treated,75.88775198994192,21.69106945570607,True,False
9,WT,Baseline,50.23228633800075,13.96299597287815,False,False
9,WT,Treated,88.94813843488767,13.957231361041243,False,False
10,WT,Baseline,51.670456268760816,21.443620476493933,False,False
10,WT,Treated,91.31037480559706,22.73862606250308,False,False
11,KO,Baseline,45.01613284255268,16.888083585119492,False,False
11,KO,Treated,48.877476478935336,20.12225923044006,False,False
12,KO,Baseline,50.24965806277165,21.53846999004073,False,False
12,KO,Treated,52.79484225099798,21.534199895493533,False,False
13,KO,Baseline,58.16600735471458,21.678997447840093,False,False
13,KO,Treated,60.05141728899318,26.877412077814434,False,True
14,KO,Baseline,48.41056821117909,20.245990369210883,False,False
14,KO,Treated,54.87602844303047,13.852439369527172,False,True
15,KO,Baseline,59.182565270690674,22.735346323223464,False,False
15,KO,Treated,63.48012256133922,14.941261631067508,False,False
16,KO,Baseline,49.5699618357338,23.834486180682113,False,False
16,KO,Treated,51.34974857897457,21.600990275638697,False,False
17,KO,Baseline,43.865448485199586,20.49733465910876,False,False
17,KO,Treated,47.130041996045016,18.804862264577096,False,False
18,KO,Baseline,49.10085905608349,22.943513744700983,False,False
18,KO,Treated,49.77212984836184,20.12296015708423,False,False
19,KO,Baseline,56.83872171688608,21.39794253224137,False,False
19,KO,Treated,59.54611657939656,18.9034612134854,False,False
20,KO,Baseline,45.31893347068178,22.524694303830508,False,False
20,KO,Treated,49.08075801560839,24.2289535868428,False,False
