Subject,Genotype,Group,Response_au,Marker_ng_ml,Response_au_outlier,Marker_ng_ml_outlier
11,KO,Baseline,45.01613284255268,21.608733718940414,False,False
11,KO,Treated,48.877476478935336,20.12225923044006,False,False
12,KO,Baseline,50.24965806277165,21.53846999004073,False,False
12,KO,Treated,52.79484225099798,21.534199895493533,False,False
13,KO,Baseline,58.16600735471458,21.678997447840093,False,False
13,KO,Treated,60.05141728899318,26.877412077814434,False,True
14,KO,Baseline,48.41056821117909,20.245990369210883,False,False
14,KO,Treated,54.87602844303047,13.852439369527172,False,True
15,KO,Baseline,59.182565270690674,22.735346323223464,False,False
15,KO,Treated,63.48012256133922,14.941261631067508,False,False
16,KO,Baseline,49.5699618357338,23.834486180682113,False,False
16,KO,Treated,51.34974857897457,21.600990275638697,False,False
17,KO,Baseline,43.865448485199586,20.49733465910876,False,False
17,KO,Treated,47.130041996045016,18.804862264577096,False,False
18,KO,Baseline,49.10085905608349,22.943513744700983,False,False
18,KO,Treated,49.77212984836184,20.12296015708423,False,False
19,KO,Baseline,56.83872171688608,21.39794253224137,False,False
19,KO,Treated,59.54611657939656,18.9034612134854,False,False
20,KO,Baseline,45.31893347068178,22.524694303830508,False,False
20,KO,Treated,49.08075801560839,24.2289535868428,False,False
