Genotype,Subject,Group,Response_au,Marker_ng_ml,Marker_ng_ml_outlier
WT,1,Treated,178.7841137292213,101.5905844064269,False
WT,2,Treated,186.3771559483291,89.17570319494745,True
WT,3,Treated,175.6469890864991,101.4089417082287,False
WT,4,Treated,184.1447348700225,81.33288374077497,True
WT,5,Treated,177.41754557752515,103.1389523358882,False
WT,6,Treated,182.4452492882199,109.1127871883804,False
WT,7,Treated,181.2704360103163,137.90977560875572,True
WT,8,Treated,177.2732662720244,103.58431909423878,False
WT,9,Treated,177.073641116746,99.95871507914129,False
WT,10,Treated,176.7167960171506,106.039118195683,False
KO,11,Treated,108.5776884697937,119.1506373652146,False
KO,12,Treated,105.06507762708932,99.98017456881026,False
KO,13,Treated,103.24142917835287,123.97903612693246,False
KO,14,Treated,113.35547272167396,68.42065572940945,False
KO,15,Treated,107.26152587504828,65.71820555821252,False
KO,16,Treated,103.59045413256251,90.62914179012732,False
KO,17,Treated,107.442289144603,91.74296354780182,False
KO,18,Treated,101.36712637046048,87.70653170651254,False
KO,19,Treated,104.76329301703164,88.34242444105358,False
KO,20,Treated,108.30077907142332,107.56618163169684,False
