Subject,Condition,Score,Reaction_ms
1,Baseline,50.38521709726787,344.0352055500065
2,Baseline,54.41895603696646,325.8276244916448
3,Baseline,45.2455488198021,333.60392994378765
4,Baseline,52.198114337364274,300.20985342696196
5,Baseline,42.449987957987176,326.9019130247233
6,Baseline,54.623517142658486,353.6460053025402
7,Baseline,51.01390211566409,321.69105225089913
8,Baseline,56.24663668732994,328.50835405036685
9,Baseline,42.29472430381361,339.8471787340851
10,Baseline,45.35536538554139,317.93444509830124
11,Baseline,56.7425911359102,321.3209133193839
12,Baseline,49.75653207887166,302.52468399970513
13,Baseline,45.317902176512796,326.364768758184
14,Baseline,49.454804783896535,334.192983415134
1,Follow-up,57.53953384061995,326.73083144847374
2,Follow-up,61.00316280797739,303.69472457628024
3,Follow-up,55.34363163719155,316.63869927865824
4,Follow-up,60.04093217506744,306.23273926476804
5,Follow-up,56.83454923684958,313.8113178226913
6,Follow-up,58.57524208805783,319.9608362168407
7,Follow-up,55.349612736462106,315.54718078787255
8,Follow-up,65.31753325851015,333.05172833470084
9,Follow-up,50.28998059623298,328.3928976143384
10,Follow-up,59.6109503354957,311.097782449198
11,Follow-up,68.29631039362968,323.2829731550231
12,Follow-up,53.32057222484947,323.77658317297585
13,Follow-up,54.148407712194995,333.01309708189353
14,Follow-up,60.43960426386164,331.47833852682726
